"0888-5885","ASTRONOMIA / FÍSICA                               ","Industrial & Engineering Chemistry Research","B2",2008
"0020-1669","ASTRONOMIA / FÍSICA                               ","Inorganic Chemistry","A2",2008
"1387-7003","ASTRONOMIA / FÍSICA                               ","Inorganic Chemistry Communications","B2",2008
"0020-1693","ASTRONOMIA / FÍSICA                               ","Inorganica Chimica Acta (Testo stampato)","B2",2008
"1058-4587","ASTRONOMIA / FÍSICA                               ","Integrated Ferroelectrics (Print)","B5",2008
"1137-3601","ASTRONOMIA / FÍSICA                               ","Inteligencia Artificial","C ",2008
"0966-9795","ASTRONOMIA / FÍSICA                               ","Intermetallics (Barking)","B1",2008
"1546-542X","ASTRONOMIA / FÍSICA                               ","International Journal of Applied Ceramic Technology","B3",2008
"1473-5504","ASTRONOMIA / FÍSICA                               ","International Journal of Astrobiology (Print)","C ",2008
"0218-1274","ASTRONOMIA / FÍSICA                               ","International Journal of Bifurcation and Chaos in Applied Sciences and Engineering","B4",2008
"0141-8130","ASTRONOMIA / FÍSICA                               ","International Journal of Biological Macromolecules","B2",2008
"0142-1123","ASTRONOMIA / FÍSICA                               ","International Journal of Fatigue","B2",2008
"0376-9429","ASTRONOMIA / FÍSICA                               ","International Journal of Fracture (Print)","B3",2008
"0219-8878","ASTRONOMIA / FÍSICA                               ","International Journal of Geometric Methods in Modern Physics","B5",2008
"0195-9271","ASTRONOMIA / FÍSICA                               ","International Journal of Infrared and Millimeter Waves","B5",2008
"1387-3806","ASTRONOMIA / FÍSICA                               ","International Journal of Mass Spectrometry (Print)","B1",2008
"0020-739X","ASTRONOMIA / FÍSICA                               ","International Journal of Mathematical Education in Science and Technology","C ",2008
"0217-751X","ASTRONOMIA / FÍSICA                               ","International Journal of Modern Physics A","B3",2008
"0217-9792","ASTRONOMIA / FÍSICA                               ","International Journal of Modern Physics B","B5",2008
"0129-1831","ASTRONOMIA / FÍSICA                               ","International Journal of Modern Physics C","B4",2008
"0218-2718","ASTRONOMIA / FÍSICA                               ","International Journal of Modern Physics D","B2",2008
"0218-3013","ASTRONOMIA / FÍSICA                               ","International Journal of Modern Physics E","B3",2008
"1475-7435","ASTRONOMIA / FÍSICA                               ","International Journal of Nanotechnology","B4",2008
"1565-1339","ASTRONOMIA / FÍSICA                               ","International Journal of Nonlinear Sciences and Numerical Simulation","A2",2008
"0378-5173","ASTRONOMIA / FÍSICA                               ","International Journal of Pharmaceutics (Print)","B1",2008
"0091-4037","ASTRONOMIA / FÍSICA                               ","International Journal of Polymeric Materials (Print)","C ",2008
"0020-7608","ASTRONOMIA / FÍSICA                               ","International Journal of Quantum Chemistry","B3",2008
"0219-7499","ASTRONOMIA / FÍSICA                               ","International Journal of Quantum Information","B5",2008
"0020-7748","ASTRONOMIA / FÍSICA                               ","International Journal of Theoretical Physics","B5",2008
"0195-928X","ASTRONOMIA / FÍSICA                               ","International Journal of Thermophysics","B5",2008
"1646-8945","ASTRONOMIA / FÍSICA                               ","International Journal on Hands-on Science","C ",2008
"1741-5977","ASTRONOMIA / FÍSICA                               ","Inverse Problems in Science & Engineering (Print)","B5",2008
"1518-9384","ASTRONOMIA / FÍSICA                               ","Investigações em Ensino de Ciências (UFRGS. Impresso)","C ",2008
"0146-0404","ASTRONOMIA / FÍSICA                               ","Investigative Ophthalmology & Visual Science","A2",2008
"0021-4922","ASTRONOMIA / FÍSICA                               ","Japanese Journal of Applied Physics","B3",2008
"0926-9959","ASTRONOMIA / FÍSICA                               ","JEADV. Journal of the European Academy of Dermatology and Venereology","B1",2008
"0021-3640","ASTRONOMIA / FÍSICA                               ","JETP Letters","B3",2008
"1155-4339","ASTRONOMIA / FÍSICA                               ","Journal de Physique. IV (Cessou em 2006. Cont. ISSN 1951-6355 The European Physical Journal. Special Topics)","B5",2008
"0925-8388","ASTRONOMIA / FÍSICA                               ","Journal of Alloys and Compounds","B3",2008
"0021-8782","ASTRONOMIA / FÍSICA                               ","Journal of Anatomy (Print)","B1",2008
"0021-8898","ASTRONOMIA / FÍSICA                               ","Journal of Applied Crystallography","A2",2008
"0021-8979","ASTRONOMIA / FÍSICA                               ","Journal of Applied Physics","B1",2008
"1097-4628","ASTRONOMIA / FÍSICA                               ","Journal of Applied Polymer Science (Online)","B3",2008
"0021-8995","ASTRONOMIA / FÍSICA                               ","Journal of Applied Polymer Science (Print)","B3",2008
"1364-6826","ASTRONOMIA / FÍSICA                               ","Journal of Atmospheric and Solar-Terrestrial Physics","B2",2008
