"1678-6254","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Mosaico (São José do Rio Preto)","B5",2008
"1676-1170","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Mosaico Apoio Pastoral","C ",2008
"1982-8713","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Nearco (Rio de Janeiro)","B5",2008
"1981-2248","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Netmal in Revista (IMS)","B4",2008
"1516-5477","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Notandum (USP)","B3",2008
"1679-9054","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Novo Olhar (São Leopoldo)","B5",2008
"1516-1021","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Numem (UFJF)","B4",2008
"1807-8222","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Oracula (UMESP)","B4",2008
"1809-1040","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Organizações em Contexto (Impresso)","B5",2008
"1659-2735","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Pasos","B4",2008
"1518-8647","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Passos Litterae Communionis","C ",2008
"0716-4769","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Pastoral Popular","C ",2008
"1678-5487","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Pensador Cristão","C ",2008
"1980-6183","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Pensar a Prática (Online)","B5",2008
"0102-5473","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Perspectiva (UFSC)","B3",2008
"0102-4469","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Perspectiva Teológica (Belo Horizonte)","B2",2008
"1413-5787","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Phoinix (UFRJ)","B4",2008
"1808-0154","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Pós-Escrito (Rio de Janeiro)","C ",2008
"1807-1112","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Prâksis (FEEVALE)","B5",2008
"1676-5745","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Práxis (ULBRA)","B5",2008
"1677-9878","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Práxis Evangélica","B4",2008
"0120-4688","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Praxis Filosofica","B3",2008
"1647-1210","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Prima Facie (Faro)","B5",2008
"1518-2983","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Principia (Juiz de Fora)","B5",2008
"1678-6408","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Protestantismo em Revista","B5",2008
"1415-3173","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Raízes (São Caetano do Sul)","C ",2008
"1677-4043","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Razão e Fé","B5",2008
"0101-8434","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","REB. Revista Eclesiastica Brasileira","B3",2008
"1679-4265","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Redes (Vitória)","B4",2008
"1982-0828","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Reflexus","C ",2008
"0034-3781","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Relations (Montréal)","B4",2008
"1982-6605","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Religare (UFPB)","B4",2008
"0100-8587","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Religião & Sociedade (Impresso)","B3",2008
"1676-6881","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Religião e Cultura (PUCSP)","B4",2008
"0048-721X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Religion (London. 1971)","A2",2008
"1980-8585","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","REMHU (Brasília)","C ",2008
"1808-6756","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Repensar (Nova Iguaçu)","B5",2008
"1677-1222","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Rever (PUCSP)","B4",2008
"1677-8685","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revés do Avesso","C ",2008
"1516-7372","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Anthropológicas","B3",2008
"1807-8214","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Ártemis","B5",2008
"1981-1225","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Aulas (UNICAMP)","B5",2008
"0102-6909","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Brasileira de Ciências Sociais (Impresso)","B2",2008
"1413-2478","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Brasileira de Educação (Impresso)","B3",2008
"0102-0188","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Brasileira de História (Impresso)","B2",2008
"1983-2850","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Brasileira de História das Religiões","B3",2008
"1807-7056","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Brasileira de Teologia","B5",2008
"1808-5687","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Brasileira de Terapias Cognitivas (Impresso)","B5",2008
"1516-2664","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista CESUMAR","B5",2008
"1806-0625","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Científica Eletrônica de Psicologia","B4",2008
"0124-2172","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista CLAR","B4",2008
"1809-6867","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista da Abordagem Gestáltica (Impresso)","C ",2008
"0104-3803","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista da APG (PUCSP)","C ",2008
"1676-2630","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista de Catequese","B4",2008
"1679-1983","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista de Ciências da Saúde Nova Esperança","C ",2008
"0104-0529","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista de Cultura Teológica","B4",2008
"1517-2120","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista de História (UFES)","B5",2008
"1676-3394","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista de Interpretação Bíblica Latino-Americana","B3",2008
"1679-5393","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista de Teologia e Ciências da Religião da UNICAP","B4",2008
"1518-3483","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Diálogo Educacional (PUCPR. Impresso)","B5",2008
"1677-8898","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Diálogos","B5",2008
"0104-4834","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista do COGEIME","C ",2008
"1517-7874","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista do GELNE (UFC)","B4",2008
"1980-0428","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista do Instituto de Ciências Humanas","B5",2008
"1413-7100","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista do Instituto de Pesquisas e Estudos","B5",2008
"1980-1963","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Dominicana de Teologia","B4",2008
"0102-7735","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Educação em Questão (UFRN. Impresso)","B5",2008
"1806-4167","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Eletrônica de Economia (Juiz de Fora)","B5",2008
"1518-1944","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Eletrônica de Enfermagem","B5",2008
"1519-6186","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Espaço Acadêmico (UEM)","B5",2008
"1133-0902","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Española de Filosofía Medieval","B3",2008
,"FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Espírito","C ",2008
"0104-026X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Estudos Feministas (UFSC. Impresso)","B2",2008
"1982-5854","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista FAFIRE (Impresso)","C ",2008
"1870-316X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Iberoamericana de Teología","B4",2008
"1983-4810","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Jesus Histórico","B5",2008
"1516-2567","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Kairós","B5",2008
"1415-4714","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Latinoamericana de Psicopatologia Fundamental (Impresso)","B3",2008
"0259-9872","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Latinoamericana de Teología","B4",2008
"0103-880X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista médica de Minas Gerais (Belo Horizonte)","B4",2008
"1808-589X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Revista Mosaicum (Impresso)","B5",2008
