"0365-0979","QUÍMICA                                           ","Arquivos de Biologia e Tecnologia (Cessou em 1997. Cont. ISSN 1516-8913 Brazilian Archives of Biology and Technology (Impresso))","C ",2008
"0365-4508","QUÍMICA                                           ","Arquivos do Museu Nacional","C ",2008
"0160-564X","QUÍMICA                                           ","Artificial Organs","B1",2008
"0004-4172","QUÍMICA                                           ","Arzneimittel-Forschung","B4",2008
"0971-3093","QUÍMICA                                           ","Asian Journal of Physics","C ",2008
"1011-2367","QUÍMICA                                           ","Asian-Australasian Journal of Animal Sciences (Print)","C ",2008
"1352-2310","QUÍMICA                                           ","Atmospheric Environment (1994)","B1",2008
"0092-640X","QUÍMICA                                           ","Atomic Data and Nuclear Data Tables (Print)","A2",2008
"0195-5373","QUÍMICA                                           ","Atomic Spectroscopy","B3",2008
"0004-7856","QUÍMICA                                           ","Aufschluss (Heidelberg)","C ",2008
"0004-9425","QUÍMICA                                           ","Australian Journal of Chemistry (Print)","B1",2008
"0004-9573","QUÍMICA                                           ","Australian Journal of Soil Research","B3",2008
"1742-7835","QUÍMICA                                           ","Basic & Clinical Pharmacology & Toxicology (Print)","B1",2008
"1860-5397","QUÍMICA                                           ","Beilstein Journal of Organic Chemistry","B4",2008
"1024-2422","QUÍMICA                                           ","Biocatalysis and Biotransformation (Print)","B3",2008
"0006-291X","QUÍMICA                                           ","Biochemical and Biophysical Research Communications (Print)","B1",2008
"1369-703X","QUÍMICA                                           ","Biochemical Engineering Journal","B2",2008
"0006-2928","QUÍMICA                                           ","Biochemical Genetics","B4",2008
"0264-6021","QUÍMICA                                           ","Biochemical Journal (London. 1984)","A1",2008
"0006-2952","QUÍMICA                                           ","Biochemical Pharmacology","A1",2008
"0305-1978","QUÍMICA                                           ","Biochemical Systematics and Ecology","B3",2008
"0006-2960","QUÍMICA                                           ","Biochemistry (Easton)","A2",2008
"0829-8211","QUÍMICA                                           ","Biochemistry and Cell Biology (Print)","B1",2008
"1470-8175","QUÍMICA                                           ","Biochemistry and Molecular Biology Education","B4",2008
"0006-3002","QUÍMICA                                           ","Biochimica et Biophysica Acta (Print) (Cessou em 1963. Desmembrado em 2: ISSN 0926-6526 Biochimica et Biophysica Acta. Specialized Section on Mucoproteins and Mucopolysaccharides e ISSN 0304-4165 Biochimica et Biophysica Acta. G, General Subjects (Print)","C ",2008
"0005-2728","QUÍMICA                                           ","Biochimica et Biophysica Acta. Bioenergetics","A1",2008
"0005-2736","QUÍMICA                                           ","Biochimica et Biophysica Acta. Biomembranes","A1",2008
"0304-4165","QUÍMICA                                           ","Biochimica et Biophysica Acta. G, General Subjects (Print)","B1",2008
"0167-4838","QUÍMICA                                           ","Biochimica et Biophysica Acta. Protein Structure and Molecular Enzymology (Cessou em 2002. Cont. ISSN 1570-9639 Biochimica et Biophysica Acta. Proteins and Proteomics)","C ",2008
"1570-9639","QUÍMICA                                           ","Biochimica et Biophysica Acta. Proteins and Proteomics","A2",2008
"0300-9084","QUÍMICA                                           ","Biochimie (Paris. Print)","A2",2008
"1043-1802","QUÍMICA                                           ","Bioconjugate Chemistry","A1",2008
