"0972-8074","CIÊNCIAS BIOLÓGICAS I                             ","Anil Aggrawal's Internet Journal of Forensic Medicine and Toxicology (Online)","B5",2008
"1676-0522","CIÊNCIAS BIOLÓGICAS I                             ","Anima (Fortaleza)","B5",2008
"1751-7311","CIÊNCIAS BIOLÓGICAS I                             ","Animal (Cambridge. Print)","B1",2008
"0003-3472","CIÊNCIAS BIOLÓGICAS I                             ","Animal Behaviour","A1",2008
"1570-7555","CIÊNCIAS BIOLÓGICAS I                             ","Animal Biology (Print)","B1",2008
"1435-9448","CIÊNCIAS BIOLÓGICAS I                             ","Animal Cognition (Print)","A1",2008
"1367-9430","CIÊNCIAS BIOLÓGICAS I                             ","Animal Conservation (Print)","A1",2008
"0377-8401","CIÊNCIAS BIOLÓGICAS I                             ","Animal Feed Science and Technology (Print)","B1",2008
"0268-9146","CIÊNCIAS BIOLÓGICAS I                             ","Animal Genetics (Print)","B1",2008
"1806-9614","CIÊNCIAS BIOLÓGICAS I                             ","Animal Reproduction","B5",2008
"0378-4320","CIÊNCIAS BIOLÓGICAS I                             ","Animal Reproduction Science (Print)","A2",2008
"1627-3583","CIÊNCIAS BIOLÓGICAS I                             ","Animal Research (Print) (Cessou em 2006. Fundiu-se com ISSN 0926-5287 Reproduction Nutrition Development (Print) e ISSN 1751-7311 Animal (Cambridge. Print))","B1",2008
"1357-7298","CIÊNCIAS BIOLÓGICAS I                             ","Animal Science. British Society of Animal Science (Cessou em 2006. Fundiu-se com ISSN 1627-3583 Animal Research (Print), ISSN 0926-5287 Reproduction Nutrition Development (Print) e ISSN 1751-7311 Animal (Cambridge. Print))","A2",2008
"0962-7286","CIÊNCIAS BIOLÓGICAS I                             ","Animal Welfare","B1",2008
"0003-3847","CIÊNCIAS BIOLÓGICAS I                             ","Annales Botanici Fennici (Print)","B3",2008
"0037-9271","CIÊNCIAS BIOLÓGICAS I                             ","Annales de la Société Entomologique de France","B1",2008
"0003-4088","CIÊNCIAS BIOLÓGICAS I                             ","Annales de Limnologie","B1",2008
"0003-455X","CIÊNCIAS BIOLÓGICAS I                             ","Annales Zoologici Fennici (Print)","B1",2008
"1081-1206","CIÊNCIAS BIOLÓGICAS I                             ","Annals of Allergy, Asthma & Immunology","B1",2008
"0940-9602","CIÊNCIAS BIOLÓGICAS I                             ","Annals of Anatomy","B2",2008
"0003-4746","CIÊNCIAS BIOLÓGICAS I                             ","Annals of Applied Biology","B1",2008
"0305-7364","CIÊNCIAS BIOLÓGICAS I                             ","Annals of Botany (Print)","A1",2008
"1476-0711","CIÊNCIAS BIOLÓGICAS I                             ","Annals of Clinical Microbiology and Antimicrobials","B5",2008
"1092-9134","CIÊNCIAS BIOLÓGICAS I                             ","Annals of Diagnostic Pathology (Print)","B5",2008
"1286-4560","CIÊNCIAS BIOLÓGICAS I                             ","Annals of Forest Science (Print)","A2",2008
"0939-5555","CIÊNCIAS BIOLÓGICAS I                             ","Annals of Hematology (Print)","B1",2008
"0301-4460","CIÊNCIAS BIOLÓGICAS I                             ","Annals of Human Biology","B3",2008
