"1414-0144","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Estudos de Sociologia (São Paulo)","B3",2008,
"1645-3530","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Estudos do Século XX","B1",2008,
"0103-2186","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Estudos Historicos (Rio de Janeiro)","B1",2008,
"0101-4064","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Estudos Ibero-Americanos (PUCRS. Impresso)","B3",2008,
"1413-8093","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ethica (UGF)","B1",2008,
"0892-6794","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ethics & International Affairs","C ",2008,
"1983-1935","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ethnic: Revista Brasileira de Estudos Interculturais","C ",2008,
"1744-9057","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ethnopolitics (Print)","B2",2008,
"0014-2123","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Études Internationales (Québec)","B1",2008,
"1828-0692","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","EURASIA. Rivista di Studi Geopolitici","A2",2008,
"0966-8136","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Europe-Asia Studies","C ",2008,
"0272-4626","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","European Applied Research Reports. Environment and natural resources section","B3",2008,
"1983-9065","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Examãpaku (Boa Vista)","B3",2008,
"1519-6895","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Extraprensa (USP)","B3",2008,
"1677-0439","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Faz Ciência (UNIOESTE. Impresso)","B5",2008,
"1807-6971","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Fênix (UFU. Online)","C ",2008,
"1703-7964","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Focal Point (Canadian Foundation for the Americas. Online)","C ",2008,
"0015-704X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Fordham Law Review","A2",2008,
"1665-1707","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Foreign Affairs en Español","B1",2008,
"0185-013X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Foro Internacional","A2",2008,
"1983-7828","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Fragmentos de Cultura (Online)","B5",2008,
"1679-5377","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Fronteira (PUCMG)","C ",2008,
"0016-3287","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Futures (London)","A2",2008,
"0337-307X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Futuribles (Paris)","B1",2008,
"1807-5436","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Gestão e Desenvolvimento (FEEVALE)","B5",2008,
"1980-5780","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Getulio (FGV)","B4",2008,
"1478-1158","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Global Change, Peace & Security (Print)","B1",2008,
"1360-0826","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Global Society","B1",2008,
"1809-6646","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Governet. Boletim de Licitações e Contratos","C ",2008,
"1667-3832","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Grumo (Buenos Aires)","C ",2008,
"1087-2221","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Harvard Jean Monnet Working Paper (Cessou em 2000. Cont. Jean Monnet Working Paper)","B2",2008,
"1809-1261","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Hegemonia (Brasília)","B5",2008,
"0898-3038","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Hemisphere (Cessou em 2008)","C ",2008,
"0329-6121","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Herramienta (Buenos Aires)","B3",2008,
